,pseudotime0,pseudotime1,pseudotime2,pseudotime3
cell_1933,,,0.44613633,
cell_1934,0.61870223,,,
cell_1935,0.21130453,,,
cell_1936,0.38607305,,,
cell_1937,,,,0.88606423
cell_1938,0.64686036,,,
cell_1939,,0.15609466,,
cell_1940,,0.03650563,,
cell_1941,,0.07492873,,
cell_1942,,,,0.82771546
cell_1943,,,0.4427875,
cell_1944,,,0.49329653,
cell_1945,0.48930055,,,
cell_1946,,,0.41047442,
cell_1947,,,0.41481277,
cell_1948,,0.06887703,,
cell_1949,,0.04279052,,
cell_1950,0.6861808,,,
cell_1951,,0.03310071,,
cell_1952,0.66746265,,,
cell_1953,,,0.47437033,
cell_1954,,0.15636142,,
cell_1955,,,0.47620028,
cell_1956,0.5382433,,,
cell_1957,0.65977824,,,
cell_1958,0.6643529,,,
cell_1959,0.5040912,,,
cell_1960,0.6642435,,,
cell_1961,0.6999601,,,
cell_1962,,,,0.41179422
cell_1963,,,,0.46325132
cell_1964,,,0.4318218,
cell_1965,,0.12936406,,
cell_1966,,,0.500563,
cell_1967,,,0.5631024,
cell_1968,,,0.543383,
cell_1969,0.5501698,,,
cell_1970,,0.06668885,,
cell_1971,0.6103272,,,
cell_1972,0.6243499,,,
cell_1973,0.5244561,,,
cell_1974,,0.050319437,,
cell_1975,0.65104806,,,
cell_1976,,,0.47042486,
cell_1977,,,0.50798255,
cell_1978,,,,0.7969434
cell_1979,0.51944035,,,
cell_1980,0.6453572,,,
cell_1981,,,0.35126182,
cell_1982,,,0.44768104,
cell_1983,,0.12324667,,
cell_1984,0.68648994,,,
cell_1985,,0.18517138,,
cell_1986,,0.101193585,,
cell_1987,,,0.46294257,
cell_1988,,,0.489846,
cell_1989,,,0.5008999,
cell_1990,0.5214462,,,
cell_1991,0.39728257,,,
cell_1992,0.70029867,,,
cell_1993,,,0.4408665,
cell_1994,,0.18634905,,
cell_1995,,0.14593926,,
cell_1996,0.6491852,,,
cell_1997,,0.09142994,,
cell_1998,,,,0.742328
cell_1999,0.6935558,,,
